"id","user_id","section_id","score_data","completed_at","meta"
"11","7","2","{""trueResponses"":82,""completionRate"":96.2566844919786,""falseResponses"":98,""totalResponses"":180,""personalityProfile"":{""extroversion"":""low""}}","2026-01-30 12:58:59.234984","{""section"":""mips"",""completedAt"":""2026-01-30T12:58:56.469Z"",""totalQuestions"":180,""totalResponses"":180}"
"12","7","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-01-30 13:13:14.473541","{""section"":""riasec"",""completedAt"":""2026-01-30T13:13:13.601Z"",""totalSections"":4,""totalResponses"":4}"
"13","7","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Tener el control de la situación,Provocar cambios,Hacer que algo funcione,Usar números, estadísticas,Analizar datosEvaluar y testar teorías,Aplicar análisis y lógica,Pensar sobre las ideas,Tomar iniciativas,Visualizar rápidamente el cuadro general (el objetivo final)Materiales visuales,Experiencias,Ejercicios de análisis,Debate en grupo,Discusiones de casos orientados hacia los números y hechos¿Por qué?Descubrir,Analizar,Practicar,ResumirComprar un cocheSe preocupa con las formas, el color y la tecnología,Lo compara con otros vehículos,Se preocupa con el costo y el valor de reventa,Se preocupa con la marca del fabricante,Se preocupa con la calidad de la atención de la concesionariaMe gusta AnalizarAnalítico,Lógico,Perceptivo,DirectoManiático por los números,Frío, insensible,Calculista,Intolerante,CuadradoAnalizo los \""hechos\"" tratándolos de forma lógica y racional.Una visión analítica, lógica, racional, \""de resultados\"".Vamos a analizar,Vamos a ver el cuadro general,Vamos a conocer el resultado""},""totalResponses"":14,""dominantQuadrant"":""experimental""}","2026-01-30 13:23:02.408881","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-01-30T13:23:01.504Z"",""totalResponses"":14}"
"14","7","5","{""intelligences"":{""musical"":0,""spatial"":0,""undefined"":""undefined[object Object][object Object][object Object][object Object][object Object][object Object][object Object][object Object]"",""linguistic"":0,""naturalistic"":0,""interpersonal"":0,""intrapersonal"":0,""bodilyKinesthetic"":0,""logicalMathematical"":0},""totalResponses"":8,""strongestIntelligence"":""undefined""}","2026-01-30 13:29:37.656975","{""section"":""gardner"",""completedAt"":""2026-01-30T13:29:36.805Z"",""totalResponses"":8,""totalIntelligences"":8}"
"15","7","6","{""completionRate"":100,""totalWordCount"":344,""responsesProvided"":64,""averageWordsPerResponse"":5}","2026-01-30 13:49:25.196093","{""section"":""proyectivas"",""completedAt"":""2026-01-30T13:49:23.289Z"",""totalQuestions"":64,""totalResponses"":64}"
"16","7","12","{""completed"":true,""completedAt"":""2026-01-30T15:23:24.737Z"",""responsesCount"":9}","2026-01-30 15:23:25.944736","{""completedAt"":""2026-01-30T15:23:24.737Z"",""totalResponses"":9}"
"17","10","7","{""completionRate"":100,""responsesProvided"":4}","2026-03-01 22:06:00.600101","{""section"":""autodescubrimiento"",""completedAt"":""2026-03-01T22:05:58.975Z"",""totalSections"":3,""totalResponses"":4}"
"18","10","9","{""completionRate"":100,""responsesProvided"":4}","2026-03-01 22:15:50.811478","{""section"":""estilo-vida"",""completedAt"":""2026-03-01T22:15:49.135Z"",""totalSections"":3,""totalResponses"":4}"
"19","10","10","{""completionRate"":100,""responsesProvided"":3}","2026-02-02 02:30:23.133828","{""completedAt"":""2026-02-02T02:30:21.571Z"",""totalResponses"":3}"
"20","10","11","{""completionRate"":100,""responsesProvided"":2}","2026-02-02 02:30:48.79649","{""completedAt"":""2026-02-02T02:30:47.199Z"",""totalResponses"":2}"
"21","11","9","{""completionRate"":100,""responsesProvided"":3}","2026-02-02 02:39:29.642983","{""completedAt"":""2026-02-02T02:39:27.392Z"",""totalResponses"":3}"
"22","11","10","{""completionRate"":100,""responsesProvided"":3}","2026-02-02 02:41:54.630766","{""completedAt"":""2026-02-02T02:41:52.703Z"",""totalResponses"":3}"
"23","17","2","{""trueResponses"":0,""completionRate"":95.72192513368985,""falseResponses"":179,""totalResponses"":179,""personalityProfile"":{""extroversion"":""low""}}","2026-02-05 17:40:17.68418","{""section"":""mips"",""completedAt"":""2026-02-05T17:40:16.139Z"",""totalQuestions"":180,""totalResponses"":179}"
"24","22","2","{""trueResponses"":106,""completionRate"":96.2566844919786,""falseResponses"":74,""totalResponses"":180,""personalityProfile"":{""extroversion"":""high""}}","2026-02-07 15:00:58.247531","{""section"":""mips"",""completedAt"":""2026-02-07T15:00:56.790Z"",""totalQuestions"":180,""totalResponses"":180}"
"25","22","3","{""scores"":{""social"":0,""artistic"":0,""realistic"":0,""conventional"":""0[object Object][object Object][object Object][object Object]"",""enterprising"":0,""investigative"":0},""primaryType"":""conventional"",""totalResponses"":4}","2026-02-07 15:04:05.986854","{""section"":""riasec"",""completedAt"":""2026-02-07T15:04:05.670Z"",""totalSections"":4,""totalResponses"":4}"
"26","22","4","{""quadrants"":{""practical"":0,""analytical"":0,""relational"":0,""experimental"":""0Trabajar solo,Tener el control de la situación,Oír y hablar,Prestarle atención a los detalles,Trabajar con personasVisualizar rápidamente el cuadro general (el objetivo final),Descubrir cosas nuevas,Trabajar en grupo,Orientaciones claras,CriticarTrabajos bien estructurados,Agenda bien flexible,Discusiones de casos orientados hacia los números y hechos,Agenda estructurada con antecedencia,Métodos tradicionales comprobados¿Por qué?Cuantificar,Descubrir,Agrupar,OrganizarComprar un cocheSe preocupa con las formas, el color y la tecnología,Lo compra basado en la recomendación de amigos,Se preocupa con el consumo de combustible,Verifica los equipos de seguridad y durabilidad,Lo compara con otros vehículosMe gusta AnalizarAnalítico,Organizado,Emocional,ExperimentalIngenuo,Vago,Ultrasensible,Sin disciplina,CuadradoOrganizo los \""hechos\"" tratando los detalles de forma realista y cronológica.Una visión analítica, lógica, racional, \""de resultados\"".Vayamos al punto clave del problema,Es más seguro de esta forma,Vamos a innovar y crear sinergia""},""totalResponses"":14,""dominantQuadrant"":""experimental""}","2026-02-07 15:05:18.027478","{""section"":""herrmann"",""totalSteps"":13,""completedAt"":""2026-02-07T15:05:17.494Z"",""totalResponses"":14}"
"27","22","5","{""intelligences"":{""musical"":0,""spatial"":0,""undefined"":""undefined[object Object][object Object][object Object][object Object][object Object][object Object][object Object][object Object]"",""linguistic"":0,""naturalistic"":0,""interpersonal"":0,""intrapersonal"":0,""bodilyKinesthetic"":0,""logicalMathematical"":0},""totalResponses"":8,""strongestIntelligence"":""undefined""}","2026-02-07 15:06:54.290279","{""section"":""gardner"",""completedAt"":""2026-02-07T15:06:53.833Z"",""totalResponses"":8,""totalIntelligences"":8}"
"28","22","6","{""completionRate"":100,""responsesProvided"":64}","2026-02-07 15:09:55.180752","{""section"":""proyectivas"",""completedAt"":""2026-02-07T15:09:54.584Z"",""totalQuestions"":64,""totalResponses"":64}"
