"id","university","faculty","title","title_type","duration","entry_conditions","location","phone_number","web","email"
"797","Instituto Tecnológico de Buenos Aires","Departamento de Ambiente y Movilidad","Ingeniero/a Civil","Grado","5 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"798","Instituto Tecnológico de Buenos Aires","Departamento de Ambiente y Movilidad","Ingeniero Mecánico","Grado","5 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"799","Instituto Tecnológico de Buenos Aires","Departamento de Ambiente y Movilidad","Ingeniero Naval","Grado","5 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"800","Instituto Tecnológico de Buenos Aires","Departamento de Ambiente y Movilidad","Ingeniero Químico","Grado","5 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"801","Instituto Tecnológico de Buenos Aires","Departamento de Ciencias de la Vida","Bioingeniero","Grado","5 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"802","Instituto Tecnológico de Buenos Aires","Departamento de Economía y Negocios","Licenciado/a en Gestión de Negocios","Grado","4 Años","Asistencia y Aprobación a Curso de Ingreso o Nivelación","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"803","Instituto Tecnológico de Buenos Aires","Departamento de Economía y Negocios","Licenciado en Analítica Empresarial y Social","Grado","4 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"804","Instituto Tecnológico de Buenos Aires","Departamento de Sistemas Complejos y Energía","Ingeniero en Petróleo","Grado","5 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"805","Instituto Tecnológico de Buenos Aires","Departamento de Sistemas Complejos y Energía","Ingeniero Industrial","Grado","5 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
"806","Instituto Tecnológico de Buenos Aires","Departamento de Sistemas Digitales y Datos","Analista en Tecnología Informática","Título Intermedio","3 Años","Exámen de Ingreso","Iguazú 341 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires","(0810) 2224822","https://www.itba.edu.ar/","sac_operaciones@itba.edu.ar"
